तेनोक्तं,:तेन,उक्तं,
अस्मिन्नवसरे,:अस्मिन्,अवसरे,
ईदृशेऽवसरे,:ईदृशे,अवसरे,
पुरस्कारमदातुम्,:पुरस्कारम्,अदातुम्,
किञ्चित्कालं,:किञ्चित्,कालं,
शीघ्रमेव,:शीघ्रम्,एव,
नापश्यन्,:न,अपश्यन्,
तमनुपस्थितं,:तम्,अनुपस्थितं,
इत्यासीत्,:इति,आसीत्,
ध्यानेनापश्यत्।,:ध्यानेन,अपश्यत्।,
सर्वमवगतम्,:सर्वम्,अवगतम्,
रजतस्थालकमादाय,:रजतस्थालकम्,आदाय,
स्थालमेवं,:स्थालम्,एवं,
किञ्चिदस्तीति,:किञ्चित्,अस्ति,इति,
स्थालकमेवम्,:स्थालकम्,एवम्,
महीभृदुवाच,:महीभृत्,उवाच,
किमिदं,:किम्,इदं,
सविनयमभाषत,:सविनयम्,अभाषत,
प्रथमोऽयमवसरः,:प्रथमः,अयम्,अवसरः,
बुद्धिचातुर्यगर्भामुक्तिम्,:बुद्धिचातुर्यगर्भाम्,उक्तिम्,
करतलध्वनिनाऽगुञ्जत्,:करतलध्वनिना,अगुञ्जत्,
समानभावेऽपि,:समानभावे,अपि,
